order_id,customer,amount,order_date
ORD1047,Sameer Khan,16350.99,2026-06-29
ORD1016,Divya Nair,16000.41,2026-06-24
ORD1030,Karan Malhotra,9725.0,2026-06-30
ORD1032,Rahul Bose,13562.17,2026-06-18
ORD1067,Arjun Kapoor,16647.22,2026-07-02
ORD1021,Ananya Joshi,21117.44,2026-07-20
ORD1046,Aditya Verma,18328.3,2026-06-13
ORD1062,Aarav Mehta,24233.21,2026-07-30
ORD1072,Sneha Iyer,10272.26,2026-07-31
ORD1048,Divya Nair,3287.8,2026-06-15
ORD1025,Sameer Khan,11632.64,2026-06-17
ORD1075,Sneha Iyer,16841.23,2026-06-21
ORD1013,Ananya Joshi,14559.6,2026-07-16
ORD1042,Priya Singh,18377.12,2026-07-23
ORD1019,Ishita Sharma,6345.83,2026-06-30
ORD1023,Priya Singh,5510.28,2026-07-31
ORD1079,Priya Singh,13578.57,2026-07-03
ORD1074,Neha Reddy,14260.11,2026-06-21
ORD1060,Pooja Desai,23103.66,2026-06-29
ORD1033,Priya Singh,7548.45,2026-06-11
ORD1061,Pooja Desai,13892.04,2026-06-04
ORD1070,Pooja Desai,13417.82,2026-06-04
ORD1040,Rahul Bose,24636.44,2026-07-22
ORD1051,Aarav Mehta,21531.99,2026-06-05
ORD1007,Aarav Mehta,19041.54,2026-06-11
ORD1045,Pooja Desai,15281.87,2026-06-14
ORD1031,Arjun Kapoor,21560.26,2026-06-01
ORD1026,Ishita Sharma,14164.79,2026-06-17
ORD1012,Vikram Rao,20785.3,2026-07-10
ORD1066,Karan Malhotra,17504.81,2026-07-17
ORD1002,Sneha Iyer,3745.59,2026-06-07
ORD1049,Aarav Mehta,14830.23,2026-06-15
ORD1043,Aditya Verma,13456.84,2026-06-09
ORD1038,Aditya Verma,23083.12,2026-07-29
ORD1024,Sneha Iyer,16488.34,2026-06-26
ORD1053,Ishita Sharma,23406.2,2026-07-07
ORD1073,Sneha Iyer,14598.3,2026-06-03
ORD1010,Neha Reddy,6832.67,2026-06-03
ORD1005,Sneha Iyer,17984.68,2026-07-15
ORD1008,Rohan Gupta,5617.25,2026-07-19
ORD1052,Vikram Rao,16822.75,2026-06-14
ORD1068,Vikram Rao,5676.21,2026-06-04
ORD1056,Pooja Desai,18307.17,2026-07-14
ORD1036,Sameer Khan,7670.59,2026-07-11
ORD1029,Rohan Gupta,15796.92,2026-07-21
ORD1011,Priya Singh,24334.96,2026-06-25
ORD1064,Karan Malhotra,22589.34,2026-06-11
ORD1057,Aarav Mehta,10243.75,2026-06-22
ORD1009,Priya Singh,9683.2,2026-06-23
ORD1050,Ishita Sharma,15887.24,2026-06-15
ORD1022,Pooja Desai,1091.88,2026-06-21
ORD1001,Sameer Khan,3048.88,2026-07-18
ORD1003,Priya Singh,14884.17,2026-06-03
ORD1077,Ananya Joshi,23245.75,2026-07-30
ORD1054,Divya Nair,20244.18,2026-06-13
ORD1028,Rohan Gupta,12884.3,2026-06-06
ORD1041,Aarav Mehta,6248.53,2026-07-07
ORD1006,Sneha Iyer,11394.46,2026-06-18
ORD1004,Sneha Iyer,6045.72,2026-07-09
ORD1055,Sameer Khan,10945.96,2026-06-28
ORD1059,Rohan Gupta,10719.48,2026-06-18
ORD1058,Priya Singh,6440.81,2026-06-13
ORD1017,Ananya Joshi,5473.82,2026-06-18
ORD1063,Rohan Gupta,10337.43,2026-07-01
ORD1065,Karan Malhotra,6849.52,2026-07-21
ORD1076,Karan Malhotra,3531.69,2026-07-12
ORD1069,Ishita Sharma,8045.04,2026-06-04
ORD1044,Divya Nair,23686.16,2026-06-11
ORD1027,Rahul Bose,14712.26,2026-06-24
ORD1037,Sneha Iyer,4074.13,2026-07-19
ORD1035,Aditya Verma,4711.7,2026-07-29
ORD1020,Rahul Bose,16106.99,2026-07-06
ORD1080,Rahul Bose,8919.52,2026-06-05
ORD1078,Divya Nair,15641.63,2026-07-07
ORD1015,Pooja Desai,6048.93,2026-06-07
ORD1034,Ishita Sharma,21932.57,2026-06-17
ORD1018,Sameer Khan,2062.64,2026-07-11
ORD1014,Sameer Khan,5928.09,2026-06-19
ORD1039,Ananya Joshi,12367.56,2026-06-08
ORD1071,Priya Singh,21327.16,2026-06-05
