order_id,customer,total_amount,leg1_method,leg1_expected,leg2_method,leg2_expected,order_date
ORD4001,Priya Singh,1374.16,Card,563.42,UPI,810.74,2026-06-09
ORD4002,Arjun Kapoor,2303.08,Card,1079.61,Wallet,1223.47,2026-06-06
ORD4003,Arjun Kapoor,10029.28,Card,5260.34,Gift Card,4768.94,2026-06-15
ORD4004,Vikram Rao,13140.46,Card,3976.3,UPI,9164.16,2026-07-15
ORD4005,Vikram Rao,3331.19,UPI,2274.82,Wallet,1056.37,2026-06-07
ORD4006,Priya Singh,6383.69,UPI,2793.39,Wallet,3590.3,2026-06-03
ORD4007,Arjun Kapoor,2871.39,Card,1920.72,Wallet,950.67,2026-07-06
ORD4008,Neha Reddy,14280.78,Card,6350.01,UPI,7930.77,2026-07-16
ORD4009,Sneha Iyer,12595.03,Card,8742.07,UPI,3852.96,2026-06-07
ORD4010,Divya Nair,10534.27,UPI,4697.58,Wallet,5836.69,2026-06-23
ORD4011,Vikram Rao,11526.3,Card,6609.4,Wallet,4916.9,2026-07-09
ORD4012,Arjun Kapoor,11935.9,Card,4360.91,Gift Card,7574.99,2026-06-18
ORD4013,Arjun Kapoor,4293.23,Card,1844.86,Wallet,2448.37,2026-06-15
ORD4014,Ananya Joshi,7016.47,UPI,2290.71,Wallet,4725.76,2026-06-14
ORD4015,Karan Malhotra,14269.25,Card,7949.98,UPI,6319.27,2026-06-17
ORD4016,Arjun Kapoor,9083.66,Card,5439.35,Gift Card,3644.31,2026-07-08
ORD4017,Sneha Iyer,15958.89,Card,5670.72,Gift Card,10288.17,2026-06-06
ORD4018,Priya Singh,3291.62,Card,1198.13,Gift Card,2093.49,2026-07-09
ORD4019,Karan Malhotra,9937.33,UPI,4841.67,Wallet,5095.66,2026-07-06
ORD4020,Priya Singh,11224.66,UPI,5778.32,Wallet,5446.34,2026-07-12
ORD4021,Vikram Rao,7520.48,UPI,3621.03,Wallet,3899.45,2026-07-03
ORD4022,Arjun Kapoor,14688.42,UPI,9521.14,Wallet,5167.28,2026-07-11
ORD4023,Sneha Iyer,3291.59,Card,1991.43,Wallet,1300.16,2026-07-09
ORD4024,Aarav Mehta,2677.02,UPI,1191.79,Wallet,1485.23,2026-06-16
ORD4025,Neha Reddy,15203.24,Card,5081.86,Gift Card,10121.38,2026-06-05
ORD4026,Rohan Gupta,2924.87,Card,1433.52,UPI,1491.35,2026-06-17
ORD4027,Neha Reddy,7346.07,Card,2826.17,UPI,4519.9,2026-07-16
ORD4028,Ananya Joshi,7570.5,Card,3838.47,Wallet,3732.03,2026-06-16
ORD4029,Ananya Joshi,1314.51,Card,685.61,UPI,628.9,2026-06-01
ORD4030,Aarav Mehta,4433.13,UPI,2935.48,Wallet,1497.65,2026-06-05
ORD4031,Vikram Rao,11033.67,Card,4255.63,UPI,6778.04,2026-07-07
ORD4032,Sneha Iyer,12768.29,Card,7954.63,UPI,4813.66,2026-06-07
ORD4033,Karan Malhotra,6313.46,Card,2932.23,Wallet,3381.23,2026-07-14
ORD4034,Priya Singh,1908.19,Card,1128.28,Wallet,779.91,2026-06-16
ORD4035,Arjun Kapoor,7728.2,UPI,3622.61,Wallet,4105.59,2026-06-30
ORD4036,Priya Singh,7645.96,Card,4928.12,Wallet,2717.84,2026-06-04
ORD4037,Arjun Kapoor,13539.41,Card,9309.68,UPI,4229.73,2026-06-11
ORD4038,Divya Nair,4205.21,Card,1936.15,Wallet,2269.06,2026-06-11
ORD4039,Karan Malhotra,4977.05,Card,3054.06,Gift Card,1922.99,2026-06-19
ORD4040,Arjun Kapoor,10927.07,Card,5405.28,UPI,5521.79,2026-06-19
ORD4041,Aarav Mehta,9686.7,UPI,5006.84,Wallet,4679.86,2026-06-04
ORD4042,Divya Nair,8541.76,Card,5476.02,UPI,3065.74,2026-06-04
ORD4043,Rohan Gupta,2026.82,Card,663.14,UPI,1363.68,2026-06-26
ORD4044,Neha Reddy,4692.23,Card,2523.52,Wallet,2168.71,2026-06-27
ORD4045,Neha Reddy,8840.74,Card,5957.62,UPI,2883.12,2026-07-13
ORD4046,Sneha Iyer,4983.22,UPI,1755.84,Wallet,3227.38,2026-06-30
ORD4047,Priya Singh,1138.73,Card,624.55,Wallet,514.18,2026-06-05
ORD4048,Arjun Kapoor,4977.01,Card,3351.04,Wallet,1625.97,2026-06-16
ORD4049,Rohan Gupta,7571.77,UPI,3916.78,Wallet,3654.99,2026-07-10
ORD4050,Arjun Kapoor,1116.35,UPI,699.77,Wallet,416.58,2026-07-13
