order_id,customer,plan_name,plan_price,billing_date
ORD5001,Priya Singh,Basic,199.0,2026-06-18
ORD5002,Rohan Gupta,Basic,199.0,2026-07-05
ORD5003,Karan Malhotra,Basic,199.0,2026-06-06
ORD5004,Arjun Kapoor,Basic,199.0,2026-06-13
ORD5005,Arjun Kapoor,Enterprise,2499.0,2026-06-29
ORD5006,Aarav Mehta,Standard,499.0,2026-06-28
ORD5007,Rohan Gupta,Standard,499.0,2026-06-07
ORD5008,Priya Singh,Pro,999.0,2026-07-09
ORD5009,Aarav Mehta,Enterprise,2499.0,2026-06-08
ORD5010,Karan Malhotra,Basic,199.0,2026-06-19
ORD5011,Neha Reddy,Pro,999.0,2026-06-13
ORD5012,Aarav Mehta,Standard,499.0,2026-06-06
ORD5013,Priya Singh,Enterprise,2499.0,2026-06-30
ORD5014,Ananya Joshi,Pro,999.0,2026-07-13
ORD5015,Priya Singh,Standard,499.0,2026-06-16
ORD5016,Karan Malhotra,Pro,999.0,2026-07-15
ORD5017,Aarav Mehta,Standard,499.0,2026-06-21
ORD5018,Priya Singh,Standard,499.0,2026-07-16
ORD5019,Divya Nair,Enterprise,2499.0,2026-06-30
ORD5020,Rohan Gupta,Standard,499.0,2026-07-06
ORD5021,Neha Reddy,Enterprise,2499.0,2026-06-26
ORD5022,Rohan Gupta,Enterprise,2499.0,2026-06-04
ORD5023,Rohan Gupta,Standard,499.0,2026-06-28
ORD5024,Neha Reddy,Enterprise,2499.0,2026-06-17
ORD5025,Aarav Mehta,Basic,199.0,2026-07-05
ORD5026,Ananya Joshi,Basic,199.0,2026-06-28
ORD5027,Aarav Mehta,Pro,999.0,2026-06-12
ORD5028,Priya Singh,Pro,999.0,2026-07-03
ORD5029,Rohan Gupta,Basic,199.0,2026-06-21
ORD5030,Priya Singh,Pro,999.0,2026-06-16
ORD5031,Neha Reddy,Basic,199.0,2026-07-02
ORD5032,Arjun Kapoor,Standard,499.0,2026-07-13
ORD5033,Arjun Kapoor,Standard,499.0,2026-07-04
ORD5034,Karan Malhotra,Standard,499.0,2026-07-15
ORD5035,Vikram Rao,Enterprise,2499.0,2026-07-12
ORD5036,Arjun Kapoor,Enterprise,2499.0,2026-06-16
ORD5037,Ananya Joshi,Basic,199.0,2026-07-06
ORD5038,Sneha Iyer,Basic,199.0,2026-07-16
ORD5039,Aarav Mehta,Pro,999.0,2026-07-03
ORD5040,Divya Nair,Standard,499.0,2026-06-09
ORD5041,Neha Reddy,Enterprise,2499.0,2026-07-01
ORD5042,Sneha Iyer,Basic,199.0,2026-07-13
ORD5043,Karan Malhotra,Enterprise,2499.0,2026-06-04
ORD5044,Priya Singh,Basic,199.0,2026-06-22
ORD5045,Priya Singh,Standard,499.0,2026-06-13
ORD5046,Rohan Gupta,Enterprise,2499.0,2026-06-18
ORD5047,Priya Singh,Enterprise,2499.0,2026-06-07
ORD5048,Arjun Kapoor,Basic,199.0,2026-06-16
ORD5049,Divya Nair,Enterprise,2499.0,2026-06-26
ORD5050,Rohan Gupta,Enterprise,2499.0,2026-06-25
